Time,RPM,MPH,Throttle,Load,Fuel Status,Coolant Temp,Intake Temp,Air Temp
9:30:39.66512,796,1.86451211933,13.7254901961,34.9019607843,0200,3601349857,127,127
9:30:39.603300,851,1.86451211933,13.7254901961,32.9411764706,0200,3601349857,127,127
9:30:40.81587,898,1.86451211933,14.5098039216,38.8235294118,0200,3601349857,127,127
9:30:40.540496,966,2.48601615911,13.7254901961,31.7647058824,0200,3601349857,127,127
9:30:40.933365,859,2.48601615911,12.9411764706,29.8039215686,0200,3601349857,127,127
9:30:41.281330,796,2.48601615911,12.9411764706,29.8039215686,0200,3601349857,127,127
9:30:41.641069,765,2.48601615911,12.9411764706,28.6274509804,0200,3601349857,127,127
9:30:42.57966,769,2.48601615911,13.7254901961,32.9411764706,0200,3601349857,127,127
9:30:42.438104,828,2.48601615911,12.9411764706,30.9803921569,0200,3601349857,127,127
9:30:42.903100,796,2.48601615911,12.9411764706,27.8431372549,0200,3601349857,127,127
9:30:43.304403,761,2.48601615911,12.9411764706,28.6274509804,0200,3601349857,127,127
9:30:43.695335,726,1.86451211933,12.9411764706,29.8039215686,0200,3631548848,127,127
9:30:44.64325,726,1.86451211933,12.5490196078,27.8431372549,0200,3631548848,127,127
9:30:44.417054,722,1.24300807955,16.0784313725,42.7450980392,0200,3631548848,127,127
9:30:44.874066,1097,1.24300807955,16.0784313725,43.9215686275,0200,3631548848,127,127
9:30:45.227810,1231,1.24300807955,16.4705882353,40.7843137255,0200,3631548848,127,127
9:30:45.633184,1229,1.24300807955,16.862745098,44.7058823529,0200,3631548848,127,127
9:30:46.54476,1214,1.24300807955,14.5098039216,33.7254901961,0200,3631548848,127,127
9:30:46.408271,996,1.24300807955,14.5098039216,35.6862745098,0200,3631548848,127,127
9:30:46.846569,972,1.86451211933,15.6862745098,41.9607843137,0200,3631548848,127,127
9:30:47.207055,1101,1.86451211933,16.862745098,46.6666666667,0200,3631548848,127,127
9:30:47.542166,1248,2.48601615911,16.4705882353,43.9215686275,0200,3631548848,127,127
9:30:47.928855,1082,2.48601615911,13.7254901961,28.6274509804,0200,3631548848,127,127
9:30:48.282920,866,3.10752019888,12.9411764706,28.6274509804,0200,3631548848,127,127
9:30:48.791247,750,2.48601615911,12.5490196078,25.8823529412,0200,3631548848,127,127
9:30:49.262259,714,2.48601615911,12.5490196078,25.8823529412,0200,3631548848,127,127
9:30:49.642720,695,2.48601615911,12.5490196078,25.8823529412,0200,3631548848,127,127
9:30:50.41426,679,2.48601615911,13.3333333333,34.9019607843,0200,3631548848,127,127
9:30:50.435244,750,2.48601615911,13.3333333333,33.7254901961,0200,3631548848,127,127
9:30:50.806016,753,2.48601615911,13.3333333333,32.9411764706,0200,3631548848,127,127
9:30:51.177683,738,2.48601615911,13.3333333333,34.9019607843,0200,3661747836,127,127
9:30:51.563422,761,2.48601615911,12.9411764706,34.9019607843,0200,3661747838,127,127
9:30:51.971642,769,2.48601615911,12.9411764706,28.6274509804,0200,3661747838,127,127
9:30:52.329191,714,1.86451211933,12.5490196078,26.6666666667,0200,3661747838,127,127
9:30:52.882357,660,1.86451211933,12.5490196078,27.8431372549,0200,3661747838,127,127
9:30:53.282925,649,1.24300807955,12.5490196078,27.8431372549,0200,3661747838,127,127
9:30:53.667958,652,0.621504039776,12.5490196078,28.6274509804,0200,3661747838,127,127
9:30:54.124969,685,0.0,12.5490196078,27.8431372549,0200,3661747838,127,127
9:30:54.623557,628,0.0,13.7254901961,40.7843137255,0200,3661747838,127,127
9:30:55.57529,800,0.0,13.7254901961,38.8235294118,0200,3661747838,127,127
9:30:55.497336,691,0.0,13.3333333333,37.6470588235,0200,3661747838,127,127
9:30:55.903556,722,0.0,14.5098039216,43.9215686275,0200,3661747838,127,127
9:30:56.259606,882,0.0,18.0392156863,53.7254901961,0200,3661747838,127,127
9:30:56.838904,1316,0.0,18.431372549,54.9019607843,0200,3661747838,127,127
9:30:57.228793,1332,1.24300807955,18.431372549,53.7254901961,0200,3661747838,127,127
9:30:57.603154,1394,1.24300807955,18.0392156863,51.7647058824,0200,3661747838,127,127
9:30:58.2450,1457,3.10752019888,17.6470588235,46.6666666667,0200,3661747838,127,127
9:30:58.427662,1480,3.10752019888,18.431372549,49.8039215686,0200,3691946827,127,127
9:30:58.925533,1585,4.35052827843,18.8235294118,49.8039215686,0200,3691946829,127,127
9:30:59.305679,1589,5.59353635799,19.2156862745,50.9803921569,0200,3691946829,127,127
9:30:59.666503,1750,5.59353635799,23.5294117647,67.8431372549,0200,3691946829,127,125
9:31:0.30858,1957,8.70105655687,27.8431372549,80.7843137255,0200,3691946829,125,125
9:31:0.467677,2187,7.45804847732,31.3725490196,87.8431372549,0200,3691946829,125,125
9:31:0.852485,2152,9.94406463642,33.7254901961,93.7254901961,0200,3691946829,125,125
9:31:1.226835,2148,9.94406463642,36.4705882353,97.6470588235,0200,3691946829,125,125
9:31:1.595782,2101,14.9160969546,34.9019607843,96.862745098,0200,3691946829,125,125
9:31:2.7256,2023,12.4300807955,25.4901960784,80.7843137255,0200,3691946829,125,125
9:31:2.397084,1695,14.9160969546,14.9019607843,37.6470588235,0200,3691946829,125,125
9:31:2.795591,1375,17.4021131137,13.7254901961,21.9607843137,0200,3691946829,125,125
9:31:3.206435,1171,16.780609074,13.3333333333,20.7843137255,0200,3691946829,125,125
