Time,RPM,MPH,Throttle,Load,Fuel Status,Coolant Temp,Intake Temp,Air Temp
19:9:2.455866,800,0.0,14.1176470588,38.8235294118,0200,3359757932,116,118
19:9:2.965520,792,0.0,13.7254901961,38.8235294118,0200,3359757932,118,118
19:9:3.459033,785,0.0,14.1176470588,38.8235294118,0200,3359757932,118,118
19:9:3.890245,789,0.0,14.1176470588,38.8235294118,0200,3359757932,116,116
19:9:4.335980,796,0.0,14.1176470588,40.0,0200,3359757932,118,118
19:9:4.706332,800,0.0,14.1176470588,38.8235294118,0200,3359757932,116,116
19:9:5.78515,796,0.0,13.7254901961,40.0,0200,3359757932,118,118
19:9:5.455031,792,0.0,13.7254901961,40.0,0200,3359757932,116,118
19:9:5.809376,796,0.0,14.1176470588,38.8235294118,0200,3359757934,118,116
19:9:6.156134,801,0.0,13.7254901961,38.8235294118,0200,3359757934,118,118
19:9:6.628752,796,0.0,13.7254901961,38.8235294118,0200,3389956923,118,116
19:9:6.956095,785,0.0,13.7254901961,38.8235294118,0200,3389956923,116,116
19:9:7.309802,796,0.0,13.7254901961,38.8235294118,0200,3389956923,116,118
19:9:7.662373,789,0.0,13.7254901961,38.8235294118,0200,3389956923,118,116
19:9:8.64977,792,0.0,13.7254901961,38.8235294118,0200,3389956923,118,116
19:9:8.408021,789,0.0,13.7254901961,38.8235294118,0200,3389956923,118,116
19:9:8.784909,789,0.0,13.7254901961,40.0,0200,3389956923,118,116
19:9:9.119949,796,0.0,13.7254901961,38.8235294118,0200,3389956923,118,118
19:9:9.496697,792,0.0,13.7254901961,38.8235294118,0200,3389956923,118,118
19:9:9.873514,802,0.0,13.7254901961,38.8235294118,0200,3389956923,118,118
19:9:10.242776,804,0.0,13.7254901961,38.8235294118,0200,3389956923,118,118
19:9:10.590756,796,0.0,13.7254901961,40.0,0200,3389956923,116,118
19:9:11.22473,800,0.0,14.1176470588,38.8235294118,0200,3389956923,118,118
19:9:11.366215,800,0.0,13.7254901961,38.8235294118,0200,3389956923,118,116
19:9:11.712583,789,0.0,13.7254901961,38.8235294118,0200,3389956923,118,118
19:9:12.90252,796,0.0,13.7254901961,38.8235294118,0200,3389956923,116,116
19:9:12.418003,796,0.0,13.7254901961,38.8235294118,0200,3389956923,116,118
19:9:12.766392,792,0.0,13.7254901961,40.0,0200,3420155912,116,116
19:9:13.146673,800,0.0,13.7254901961,38.8235294118,0200,3420155913,118,118
19:9:13.522765,802,0.0,13.7254901961,38.8235294118,0200,3420155913,118,116
19:9:13.870594,799,0.0,13.7254901961,38.8235294118,0200,3420155913,116,116
