Time,RPM,MPH,Throttle,Load,Fuel Status,Coolant Temp,Intake Temp,Air Temp
15:24:6.127597,800,0.0,13.7254901961,37.6470588235,0200,3540951876,125,125
15:24:6.650031,804,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:7.105444,792,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:7.576901,800,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:7.951227,804,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:8.324316,792,0.0,13.7254901961,35.6862745098,0200,3540951876,125,125
15:24:8.687565,792,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:9.75861,781,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:9.473268,792,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:9.806954,806,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:10.184784,796,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:10.553331,804,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:10.910126,792,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:11.282257,792,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:11.645006,792,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:11.999251,785,0.0,13.7254901961,37.6470588235,0200,3540951876,125,125
15:24:12.376548,804,0.0,13.7254901961,36.862745098,0200,3540951876,125,125
15:24:12.731313,789,0.0,13.7254901961,35.6862745098,0200,3571150865,125,125
15:24:13.110834,792,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:13.514769,781,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:13.884273,789,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:14.252921,781,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:14.649807,781,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:15.17919,789,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:15.362889,792,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:15.771787,801,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:16.165211,804,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:16.497875,792,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:16.873847,789,0.0,13.7254901961,35.6862745098,0200,3571150866,125,125
15:24:17.229437,789,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:17.566404,792,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:17.970105,792,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:18.322560,794,0.0,13.7254901961,36.862745098,0200,3571150866,125,125
15:24:18.663972,796,0.0,13.7254901961,35.6862745098,0200,3571150868,125,125
15:24:19.45824,796,0.0,13.7254901961,36.862745098,0200,3601349857,125,125
